,precision,recall,f1-score,support
0,1.0,1.0,1.0,1.0
1,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
2,0.3333333333333333,0.5,0.4,2.0
4,0.25,1.0,0.4,1.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,2.0
11,0.0,0.0,0.0,1.0
18,0.0,0.0,0.0,1.0
25,0.0,0.0,0.0,1.0
26,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,1.0
32,0.0,0.0,0.0,1.0
34,0.0,0.0,0.0,1.0
35,0.0,0.0,0.0,2.0
36,0.0,0.0,0.0,1.0
38,0.0,0.0,0.0,1.0
44,0.0,0.0,0.0,0.0
accuracy,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727
macro avg,0.1125,0.15833333333333333,0.12333333333333334,22.0
weighted avg,0.178030303030303,0.22727272727272727,0.19090909090909092,22.0
