,precision,recall,f1-score,support
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,3.0
2,0.09523809523809523,1.0,0.17391304347826086,2.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,2.0
11,0.0,0.0,0.0,1.0
18,0.0,0.0,0.0,1.0
25,0.0,0.0,0.0,1.0
31,0.0,0.0,0.0,1.0
32,0.0,0.0,0.0,1.0
34,0.0,0.0,0.0,1.0
35,0.0,0.0,0.0,2.0
36,0.0,0.0,0.0,1.0
38,0.0,0.0,0.0,1.0
accuracy,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
macro avg,0.0056022408963585435,0.058823529411764705,0.010230179028132991,22.0
weighted avg,0.008658008658008658,0.09090909090909091,0.015810276679841896,22.0
